State,District,Delta Confirmed,Delta Deceased,Delta Recovered,Total Confirmed,Total Deceased,Total Recovered
RJ,Pali,72,0,52,2824,31,2335
RJ,Pratapgarh,0,0,1,194,2,161
RJ,Rajsamand,0,0,30,650,7,560
RJ,Sawai Madhopur,0,0,7,254,12,150
RJ,Sikar,12,2,66,1202,10,889
RJ,Sirohi,1,0,4,905,11,774
RJ,Tonk,18,0,3,322,3,266
RJ,Udaipur,32,0,0,1397,13,1060
SK,East Sikkim,109,0,2,596,1,210
SK,South Sikkim,14,0,8,144,0,73
SK,Unknown,0,0,8,42,0,15
TG,Unknown,1286,12,1066,68946,563,49675
TN,Airport Quarantine,12,0,18,1477,1,1160
TN,Ariyalur,49,0,21,1094,7,870
TN,Chengalpattu,260,10,386,15917,272,13062
TN,Chennai,1042,26,1143,104027,2199,89969
TN,Coimbatore,230,7,233,5688,85,3918
TN,Cuddalore,264,3,61,3846,37,2089
TN,Dharmapuri,2,1,124,791,7,683
TN,Dindigul,65,1,100,3131,57,2581
TN,Erode,22,0,10,789,10,607
TN,Kallakurichi,149,0,109,4055,26,3012
TN,Kancheepuram,208,6,559,10303,128,7316
TN,Kanyakumari,128,9,192,5435,61,3372
TN,Karur,23,0,31,602,10,328
TN,Krishnagiri,26,2,43,1196,16,660
TN,Madurai,32,4,197,11487,261,8984
TN,Nagapattinam,56,1,6,873,10,459
TN,Namakkal,34,1,38,835,8,481
TN,Nilgiris,14,0,22,863,2,722
TN,Perambalur,4,0,37,547,6,360
TN,Pudukkottai,43,1,96,2514,30,1693
TN,Railway Quarantine,1,0,0,426,0,424
TN,Ramanathapuram,49,2,85,3449,70,2899
TN,Ranipet,78,1,149,5930,40,4094
TN,Salem,63,3,69,3931,39,2755
TN,Sivaganga,143,1,51,2677,52,2129
TN,Tenkasi,46,4,386,2443,36,1622
TN,Thanjavur,89,1,200,3243,32,2347
TN,Theni,292,4,175,6261,72,3498
TN,Thiruvallur,346,1,319,15096,257,11402
TN,Thiruvarur,31,0,100,1830,9,1498
TN,Thoothukkudi,189,0,349,8035,58,6000
TN,Tiruchirappalli,86,2,162,4603,62,3106
TN,Tirunelveli,156,6,149,5797,61,3438
TN,Tirupathur,66,2,32,1344,22,824
TN,Tiruppur,6,2,36,1000,16,653
TN,Tiruvannamalai,133,4,184,6793,73,4453
TN,Vellore,150,2,131,6526,67,5225
TN,Viluppuram,50,1,51,4162,38,3308
TN,Virudhunagar,426,4,447,9269,109,6783
TR,Dhalai,1,0,6,636,2,567
TR,Gomati,26,1,22,919,8,573
TR,Khowai,16,0,13,456,3,301
TR,North Tripura,14,0,1,478,1,288
TR,Sipahijala,28,0,6,1178,2,906
TR,South Tripura,3,0,2,370,3,255
TR,Unokoti,0,0,1,135,0,112
TR,West Tripura,43,0,19,1348,9,673
UP,Agra,10,0,21,1905,99,1515
UP,Aligarh,36,0,22,1638,26,679
UP,Ambedkar Nagar,1,1,1,311,11,161
UP,Amethi,5,0,12,503,2,398
UP,Amroha,35,0,6,766,11,338
UP,Auraiya,21,0,37,494,2,255
UP,Ayodhya,20,1,14,1370,17,744
UP,Azamgarh,36,3,23,1187,16,462
UP,Baghpat,2,0,1,632,12,554
UP,Bahraich,34,0,11,676,8,281
UP,Ballia,0,0,3,1930,17,819
UP,Balrampur,9,0,4,319,8,170
UP,Banda,3,0,1,325,2,185
UP,Barabanki,33,0,43,1354,12,881
UP,Bareilly,98,2,18,2821,67,1103
UP,Basti,35,0,18,1029,30,606
UP,Bhadohi,24,0,3,662,6,278
UP,Bijnor,16,0,10,776,9,604
UP,Budaun,13,0,18,544,4,325
UP,Bulandshahr,17,0,25,1430,33,1141
UP,Chandauli,17,1,27,1068,9,688
UP,Chitrakoot,0,0,1,256,2,121
UP,Deoria,57,0,41,1444,9,777
UP,Etah,34,0,2,393,10,143
UP,Etawah,38,2,26,837,27,509
UP,Farrukhabad,20,0,12,554,12,377
UP,Fatehpur,26,0,15,600,12,315
UP,Firozabad,10,0,13,779,41,608
UP,Gautam Buddha Nagar,35,0,54,5544,43,4599
UP,Ghaziabad,59,0,60,5337,64,4345
UP,Ghazipur,44,0,14,1294,11,691
UP,Gonda,19,1,12,861,13,369
UP,Gorakhpur,77,4,52,2663,60,1363
UP,Hamirpur,1,0,3,333,9,196
UP,Hapur,10,0,53,1336,20,1100
UP,Hardoi,42,0,40,1259,13,756
UP,Hathras,5,0,4,291,6,244
UP,Jalaun,26,0,0,562,10,253
UP,Jaunpur,112,0,45,2295,16,1142
UP,Jhansi,73,0,55,2548,71,1716
UP,Kannauj,2,0,31,946,7,589
UP,Kanpur Dehat,5,0,2,336,3,144
UP,Kanpur Nagar,260,8,47,6504,228,2431
UP,Kasganj,19,0,1,460,1,317
UP,Kaushambi,1,0,5,377,4,298
UP,Kushinagar,31,0,28,912,7,434
UP,Lakhimpur Kheri,2,1,12,565,7,268
UP,Lalitpur,24,0,3,421,4,31
UP,Lucknow,612,4,315,9805,124,5043
UP,Maharajganj,19,1,17,875,9,505
UP,Mahoba,2,0,3,305,3,209
UP,Mainpuri,10,1,7,779,17,618
UP,Mathura,22,0,26,981,33,653
UP,Mau,12,0,7,580,6,347
UP,Meerut,22,0,6,2383,112,1813
UP,Mirzapur,21,0,5,845,14,352
UP,Moradabad,33,3,47,2149,61,1196
UP,Muzaffarnagar,13,0,26,905,20,629
UP,Pilibhit,10,0,56,878,6,367
UP,Pratapgarh,18,0,11,524,13,199
UP,Prayagraj,130,3,61,3040,63,1083
UP,Rae Bareli,24,0,2,670,11,363
UP,Rampur,99,2,10,1348,19,652
UP,Saharanpur,30,3,3,1226,16,709
UP,Sambhal,12,0,13,1037,19,830
UP,Sant Kabir Nagar,57,0,24,1121,10,700
UP,Shahjahanpur,3,1,22,1253,10,570
UP,Shamli,12,0,7,502,7,343
UP,Shrawasti,18,0,10,205,3,123
UP,Siddharthnagar,11,0,8,916,12,531
UP,Sitapur,21,0,0,636,1,166
UP,Sonbhadra,45,0,27,675,0,382
UP,Sultanpur,36,0,25,866,19,488
UP,Unnao,54,0,66,940,14,481
UP,Varanasi,109,1,125,3419,84,1596
UT,Almora,3,0,0,315,2,247
UT,Chamoli,1,0,0,98,0,82
UT,Champawat,10,1,3,135,2,74
UT,Dehradun,48,2,55,1823,52,1335
UT,Haridwar,23,0,125,1610,2,785
UT,Nainital,10,2,5,1289,20,679
UT,Pauri Garhwal,6,0,0,228,4,184
UT,Pithoragarh,32,0,0,182,0,78
UT,Rudraprayag,1,0,2,81,1,68
UT,Tehri Garhwal,3,0,9,525,2,500
UT,Udham Singh Nagar,63,0,99,1356,8,564
UT,Uttarkashi,8,0,11,233,1,157
WB,Alipurduar,45,0,11,488,3,276
WB,Bankura,17,0,48,848,0,594
WB,Birbhum,65,0,10,727,6,467
WB,Cooch Behar,29,0,13,1013,0,570
WB,Dakshin Dinajpur,56,2,6,1416,10,1002
WB,Darjeeling,53,4,73,2589,27,1821
WB,Hooghly,117,2,113,3793,65,2840
WB,Howrah,190,6,135,8632,221,6394
WB,Jalpaiguri,83,0,31,1546,13,1154
WB,Jhargram,2,0,3,38,0,31
WB,Kalimpong,7,0,0,105,1,78
WB,Kolkata,719,15,769,24537,835,16966
WB,Malda,51,1,18,2606,15,2067
WB,Murshidabad,54,1,27,1012,13,673
WB,Nadia,69,1,20,1231,12,854
WB,North 24 Parganas,596,14,440,17431,403,11834
WB,Paschim Bardhaman,154,0,24,1216,11,667
WB,Paschim Medinipur,16,1,14,1316,17,997
WB,Purba Bardhaman,36,1,21,1152,5,663
WB,Purba Medinipur,136,0,13,1825,15,1297
WB,Purulia,17,0,3,292,0,192
WB,South 24 Parganas,233,6,170,5862,100,4387
WB,Uttar Dinajpur,7,0,104,1243,10,997
